x,Curve1
500.67,-0.163
526.2,-0.234
555.99,-0.421
581.89,-0.93
609.46,-1.904
622.31,-2.942
636.14,-3.983
655.87,-5.064
675.99,-6.875
691.13,-7.896
707.88,-8.564
724.31,-9.302
730.89,-9.7
749.53,-9.595
773.08,-9.463
803.06,-8.076
821.96,-7.222
851.38,-6.772
875.52,-5.949
892.47,-5.232
910.11,-4.83
932.04,-4.888
961.51,-5.163
998.84,-5.445
1011.94,-5.544
1022.76,-5.87
1042.42,-6.186
1055.52,-6.224
1089.18,-5.75
1104.84,-5.187
1116.26,-4.78
1125.4,-4.6
1131.92,-4.307
1139.44,-4.211
1151.22,-4.274
1165.93,-4.079
1177.05,-3.96
1202.24,-3.947
1221.2,-3.711
1242.14,-3.618
1252.27,-3.549
1264.7,-3.426
1290.2,-3.217
1308.51,-3.071
1328.13,-2.877
1349.39,-2.735
1362.15,-2.71
1384.4,-2.745
1404.69,-2.773
1422.05,-2.912
1438.77,-3.311
1455.16,-3.651
1467.62,-3.956
1473.52,-4.092
1492.82,-3.994
1510.16,-3.988
1527.86,-4.309
1544.26,-4.678
1559.33,-4.901
1575.05,-5.082
1588.48,-5.283
1597.02,-5.594
1613.75,-6.045
1625.56,-6.464
1634.77,-6.919
1644.97,-7.577
1664,-8.181
1675.82,-8.654
1684.38,-9.251
1698.17,-9.744
1715.88,-10.26
1729.02,-10.797
1730.38,-11.41
1736.97,-11.959
1742.59,-12.574
1748.87,-13.261
1753.82,-13.841
1758.82,-14.815
1761.49,-15.378
1768.76,-16.214
1771.11,-16.896
1776.08,-17.59
1782.02,-18.241
1787.85,-17.569
1792.71,-16.958
1796.58,-16.343
1802.39,-15.434
1807.52,-14.234
1814,-13.43
1819.17,-12.677
1824.66,-11.781
1828.85,-11.044
1834.32,-10.074
1841.8,-9.494
1851.55,-8.704
1861.96,-7.995
1874.98,-7.208
1887.02,-6.543
1898.44,-6.099
1912.47,-5.625
1927.81,-5.173
1943.16,-4.909
1969.32,-4.617
1988.92,-4.332
2030.78,-3.962
2060.21,-3.815
2079.19,-3.728
2090.65,-3.868
2108.97,-3.787
2136.13,-3.769
2149.23,-3.892
2172.47,-4.027
2191.13,-4.105
2212.43,-4.451
2233.06,-4.682
2253.72,-5.162
2277.66,-5.72
2299.31,-6.326
2313.76,-6.977
2336.43,-7.965
2355.51,-9.16
2361.8,-10.001
2373.99,-10.974
2379.28,-11.544
2387.88,-12.602
2395.82,-13.612
2403.1,-14.532
2409.39,-15.309
2416.68,-16.357
2419.69,-17.159
2424.11,-19.091
2424.36,-18.174
2428.11,-19.818
2432.5,-21.474
2433.23,-22.271
2439.73,-25.61
2439.95,-25.61
2444.14,-27.454
2451.42,-28.249
2463.44,-27.278
2468.22,-25.735
2470.05,-24.294
2479.98,-21.761
2489.65,-20.076
2499.87,-17.242
2504.99,-15.989
2516.67,-14.791
2526.7,-13.441
2539.03,-12.262
2548.78,-11.535
2564.99,-9.864
2602.15,-8.139
2675.56,-5.728
2734.01,-4.289
2806.88,-3.091
2885,-2.13
2943.87,-1.772
3004.07,-1.685
